/M0/D X,/M0/D Y
0,4.449521670167253e-15
1e-09,6.042096029371539e-07
2e-09,1.105302172894048e-07
3e-09,4.45261773930786e-08
4e-09,4.317491511519887e-08
5e-09,4.569197224342106e-08
6e-09,4.979928581660227e-08
7e-09,5.625847261400238e-08
8e-09,6.615335916481525e-08
9.000000000000001e-09,8.110145703884986e-08
1e-08,1.033559212467276e-07
1.1e-08,1.359803326647519e-07
1.2e-08,1.83050697700593e-07
1.3e-08,2.498865249284418e-07
1.4e-08,3.433228708955168e-07
1.500000000000001e-08,4.720362062555324e-07
1.6e-08,6.469210111468651e-07
1.7e-08,8.814676748927003e-07
1.8e-08,1.192005828325251e-06
1.9e-08,1.597554049672707e-06
2e-08,2.118890860351771e-06
2.1e-08,2.776421299404748e-06
2.2e-08,3.586602817981605e-06
2.3e-08,4.557236811719095e-06
2.4e-08,5.682745770818258e-06
2.5e-08,6.941203683880124e-06
2.599999999999999e-08,8.294686860013763e-06
2.699999999999999e-08,9.693616698964443e-06
2.799999999999999e-08,1.108412351502438e-05
2.899999999999999e-08,1.241539615622799e-05
2.999999999999999e-08,1.364613230457069e-05
3.099999999999999e-08,1.474792470248603e-05
3.2e-08,1.570650176591623e-05
3.3e-08,1.651974592142718e-05
3.4e-08,1.719472400603694e-05
3.5e-08,1.774463292322848e-05
3.6e-08,1.818586924650665e-05
3.700000000000001e-08,1.853543030802136e-05
3.800000000000001e-08,1.88095297126994e-05
3.900000000000001e-08,1.902269488213109e-05
4.000000000000001e-08,1.918739377992487e-05
4.100000000000002e-08,1.931399578289008e-05
4.200000000000002e-08,1.941092550152505e-05
4.300000000000002e-08,1.948490828932325e-05
4.400000000000002e-08,1.954124217603282e-05
4.500000000000003e-08,1.958405901028245e-05
4.600000000000003e-08,1.961655664970263e-05
4.700000000000003e-08,1.964119578630751e-05
4.800000000000003e-08,1.965986156736842e-05
4.900000000000004e-08,1.96739934013393e-05
5.000000000000004e-08,1.968468757393088e-05
5.100000000000004e-08,1.96927774408286e-05
5.200000000000004e-08,1.969889556816375e-05
5.300000000000004e-08,1.970352158286163e-05
5.400000000000005e-08,1.97070188468465e-05
5.500000000000005e-08,1.970966246705683e-05
5.600000000000005e-08,1.971166063192164e-05
5.700000000000005e-08,1.971317083218059e-05
5.800000000000006e-08,1.971431217421405e-05
5.900000000000006e-08,1.971517471668687e-05
6.000000000000006e-08,1.971582654410465e-05
6.100000000000006e-08,1.971631912240782e-05
6.200000000000005e-08,1.971669135188912e-05
6.300000000000005e-08,1.971697263317696e-05
6.400000000000004e-08,1.971718518597383e-05
6.500000000000004e-08,1.971734580230912e-05
6.600000000000004e-08,1.971746717200564e-05
6.700000000000003e-08,1.971755888461522e-05
6.800000000000003e-08,1.971762818673257e-05
6.900000000000002e-08,1.971768055436608e-05
7.000000000000002e-08,1.971772012551218e-05
7.100000000000001e-08,1.971775002706461e-05
7.200000000000001e-08,1.971777262185953e-05
7.300000000000001e-08,1.971778969544647e-05
7.4e-08,1.971780259681579e-05
7.5e-08,1.971781234556892e-05
7.599999999999999e-08,1.971781971211151e-05
7.699999999999999e-08,1.971782527855235e-05
7.799999999999998e-08,1.971782948476642e-05
7.899999999999998e-08,1.971783266314099e-05
7.999999999999998e-08,1.971783506484088e-05
8.099999999999997e-08,1.971783687965582e-05
8.199999999999997e-08,1.97178382509984e-05
8.299999999999996e-08,1.971783928723646e-05
8.399999999999996e-08,1.971784007025689e-05
8.499999999999995e-08,1.971784066193672e-05
8.599999999999995e-08,1.971784110903237e-05
8.699999999999995e-08,1.971784144687451e-05
8.799999999999994e-08,1.971784170216059e-05
8.899999999999994e-08,1.971784189506448e-05
8.999999999999993e-08,1.971784204082993e-05
9.099999999999993e-08,1.971784215097564e-05
9.199999999999992e-08,1.971784223420604e-05
9.299999999999992e-08,1.971784229709806e-05
9.399999999999992e-08,1.971784234462162e-05
9.499999999999991e-08,1.971784238053216e-05
9.599999999999991e-08,1.971784240766752e-05
9.69999999999999e-08,1.9717842428172e-05
9.79999999999999e-08,1.971784244366578e-05
9.899999999999989e-08,1.971784245537367e-05
9.999999999999989e-08,1.971784246422062e-05
1.009999999999999e-07,1.633764045219034e-05
1.019999999999999e-07,1.718347908887612e-05
1.029999999999999e-07,1.768732662868133e-05
1.039999999999999e-07,1.807791888327395e-05
1.049999999999999e-07,1.838547000484048e-05
1.059999999999999e-07,1.862625301763625e-05
1.069999999999999e-07,1.882956939702931e-05
1.079999999999999e-07,1.898913334420064e-05
1.089999999999999e-07,1.911009689186557e-05
1.099999999999998e-07,1.920012726694687e-05
1.109999999999998e-07,1.926643982303123e-05
1.119999999999998e-07,1.931498249713528e-05
1.129999999999998e-07,1.935038297080859e-05
1.139999999999998e-07,1.937613753387297e-05
1.149999999999998e-07,1.939484528538848e-05
1.159999999999998e-07,1.94084201908213e-05
1.169999999999998e-07,1.941826357389816e-05
1.179999999999998e-07,1.942539767766755e-05
1.189999999999998e-07,1.943056643205223e-05
1.199999999999998e-07,1.943431036113071e-05
1.209999999999998e-07,1.943702176983503e-05
1.219999999999998e-07,1.943898517234528e-05
1.229999999999998e-07,1.944040679964824e-05
1.239999999999998e-07,1.944143608298261e-05
1.249999999999998e-07,1.944218126873872e-05
1.259999999999998e-07,1.944272075457002e-05
1.269999999999998e-07,1.944311131241458e-05
1.279999999999998e-07,1.944339404986683e-05
1.289999999999998e-07,1.944359873014731e-05
1.299999999999998e-07,1.944374690169815e-05
1.309999999999998e-07,1.944385416492816e-05
1.319999999999998e-07,1.944393181375591e-05
1.329999999999997e-07,1.944398802426008e-05
1.339999999999997e-07,1.944402871532005e-05
1.349999999999997e-07,1.944405817172632e-05
1.359999999999997e-07,1.944407949529927e-05
1.369999999999997e-07,1.944409493158817e-05
1.379999999999997e-07,1.944410610577734e-05
1.389999999999997e-07,1.944411419482147e-05
1.399999999999997e-07,1.94441200504968e-05
1.409999999999997e-07,1.944412428942746e-05
1.419999999999997e-07,1.94441273579943e-05
1.429999999999997e-07,1.944412957933269e-05
1.439999999999997e-07,1.944413118736209e-05
1.449999999999997e-07,1.944413235141602e-05
1.459999999999997e-07,1.944413319407579e-05
1.469999999999997e-07,1.944413380407788e-05
1.479999999999997e-07,1.944413424565883e-05
1.489999999999997e-07,1.944413456531965e-05
1.499999999999997e-07,1.944413479672265e-05
1.509999999999997e-07,1.944413496423524e-05
1.519999999999997e-07,1.944413508549777e-05
1.529999999999997e-07,1.94441351732798e-05
1.539999999999997e-07,1.944413523682516e-05
1.549999999999997e-07,1.944413528282597e-05
1.559999999999996e-07,1.944413531612562e-05
1.569999999999996e-07,1.944413534023138e-05
1.579999999999996e-07,1.944413535768169e-05
1.589999999999996e-07,1.944413537031412e-05
1.599999999999996e-07,1.944413537945844e-05
1.609999999999996e-07,1.944413538607819e-05
1.619999999999996e-07,1.944413539087021e-05
1.629999999999996e-07,1.944413539433923e-05
1.639999999999996e-07,1.94441353968505e-05
1.649999999999996e-07,1.944413539866838e-05
1.659999999999996e-07,1.944413539998396e-05
1.669999999999996e-07,1.94441354009367e-05
1.679999999999996e-07,1.944413540162639e-05
1.689999999999996e-07,1.944413540212563e-05
1.699999999999996e-07,1.944413540248704e-05
1.709999999999996e-07,1.944413540274856e-05
