/M0/D X,/M0/D Y
0,1.098199222532292e-14
1e-09,6.646662490169108e-07
2e-09,1.723466878301224e-07
3e-09,1.213863430488739e-07
4e-09,1.617460239633287e-07
5e-09,2.740574696368905e-07
6e-09,5.393149956650077e-07
7e-09,1.116882609089945e-06
8e-09,2.309804184710137e-06
9.000000000000001e-09,4.615149162242675e-06
1e-08,8.614722519368381e-06
1.1e-08,1.456941422755537e-05
1.2e-08,2.206508252842074e-05
1.3e-08,2.972959107925229e-05
1.4e-08,3.497599307891769e-05
1.500000000000001e-08,3.755576859787029e-05
1.6e-08,3.860911964094724e-05
1.7e-08,3.904387697726048e-05
1.8e-08,3.935463262760577e-05
1.9e-08,3.979629967836071e-05
2e-08,4.038187893504469e-05
2.1e-08,4.099905265649392e-05
2.2e-08,4.154252119549414e-05
2.3e-08,4.19630345883683e-05
2.4e-08,4.226552149915008e-05
2.5e-08,4.24815104245626e-05
2.599999999999999e-08,4.264870116344179e-05
2.699999999999999e-08,4.282031390643432e-05
2.799999999999999e-08,4.306088964475324e-05
2.899999999999999e-08,4.338932813758002e-05
2.999999999999999e-08,4.375401731816011e-05
3.099999999999999e-08,4.40891354654066e-05
3.2e-08,4.436549023476947e-05
3.3e-08,4.458438131084038e-05
3.4e-08,4.475675584859057e-05
3.5e-08,4.489358150340351e-05
3.6e-08,4.500366471812561e-05
3.700000000000001e-08,4.509371255254743e-05
3.800000000000001e-08,4.516881484844569e-05
3.900000000000001e-08,4.523286868163066e-05
4.000000000000001e-08,4.528889495073379e-05
4.100000000000002e-08,4.533929916455429e-05
4.200000000000002e-08,4.538618210313242e-05
4.300000000000002e-08,4.543202002333651e-05
4.400000000000002e-08,4.548154863214746e-05
4.500000000000003e-08,4.554376114376043e-05
4.600000000000003e-08,4.562846412703109e-05
4.700000000000003e-08,4.573864026091207e-05
4.800000000000003e-08,4.586804864173356e-05
4.900000000000004e-08,4.600591587312948e-05
5.000000000000004e-08,4.614257271926718e-05
5.100000000000004e-08,4.627192186796857e-05
5.200000000000004e-08,4.639110930474153e-05
5.300000000000004e-08,4.649926123195605e-05
5.400000000000005e-08,4.659644628097388e-05
5.500000000000005e-08,4.668312126014921e-05
5.600000000000005e-08,4.675991943605978e-05
5.700000000000005e-08,4.682758434716852e-05
5.800000000000006e-08,4.688694013592744e-05
5.900000000000006e-08,4.693885920641741e-05
6.000000000000006e-08,4.698422302321541e-05
6.100000000000006e-08,4.702388330353256e-05
6.200000000000005e-08,4.705863106637709e-05
6.300000000000005e-08,4.70891772598884e-05
6.400000000000004e-08,4.711614478866804e-05
6.500000000000004e-08,4.714006935997701e-05
6.600000000000004e-08,4.71614058847426e-05
6.700000000000003e-08,4.718053766777083e-05
6.800000000000003e-08,4.719778633697827e-05
6.900000000000002e-08,4.721342129595616e-05
7.000000000000002e-08,4.722766819141156e-05
7.100000000000001e-08,4.724071623525499e-05
7.200000000000001e-08,4.725272439585185e-05
7.300000000000001e-08,4.726382656174221e-05
7.4e-08,4.72741358158854e-05
